"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","10u*","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C4","2","22u 25V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"3","C5, C6","2","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"4","D1, D2","2","BAT54SL","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3","1","LED","LED_THT:LED_D3.0mm","","",""
"6","J1","1","Signal 1","eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"7","J2","1","Signal 2","eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"8","J3","1","CV 1","eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"9","J4","1","CV 2","eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"10","J5","1","Out 1","eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"11","J6","1","Out 2","eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"12","J7","1","Conn_02x05_Odd_Even","eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"13","Q1","1","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"14","Q2","1","BC547C","Package_TO_SOT_THT:TO-92L_Inline","","Mouser","637-BC547C"
"15","R1, R2, R3, R4, R10, R11, R14, R17","8","100K","Resistor_SMD:R_0805_2012Metric","","",""
"16","R5, R22, R25","3","1K","Resistor_SMD:R_0805_2012Metric","","",""
"17","R6, R7, R20","3","15K","Resistor_SMD:R_0805_2012Metric","","",""
"18","R8, R9","2","10K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R12","1","470K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R13","1","470","Resistor_SMD:R_0805_2012Metric","","",""
"21","R15, R16","2","68K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R18, R19","2","22K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R21","1","33K","Resistor_SMD:R_0805_2012Metric","","",""
"24","R23, R24","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"25","R26","1","100","Resistor_SMD:R_0805_2012Metric","","",""
"26","RV1, RV2, RV3","3","100K LOG*","eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-5407 (DC Version: A-2963)"
"27","RV4","1","1K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-585"
"28","RV5","1","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-587"
"29","RV6","1","47K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","Tayda","A-598"
"30","U1","1","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
